Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.101604,-0.665289,-9.789292,-0.004699,0.006443,-0.00366
0.114173,-0.73083,-9.77343,0.010367,0.039364,0.04006
0.02888,-0.73921,-9.637111,-0.00271,0.005363,-0.006771
0.124947,-0.717512,-9.748591,-0.011079,0.00337,-0.00675
0.179266,-0.69372,-9.731682,0.00013,0.028368,0.040725
-0.067487,-0.77647,-9.686341,0.011912,-0.000772,-0.015996
0.086191,-0.807295,-9.655965,-0.009002,0.013937,-0.004723
0.165649,-0.754473,-9.699509,-0.000808,0.020558,0.02004
0.04549,-0.832584,-9.6208,-0.006438,0.011198,0.015493
0.055216,-0.742203,-9.664195,-0.032243,-0.01157,-0.024079
0.150535,-0.681599,-9.826253,-0.002473,0.007128,-0.008284
0.066589,-0.714669,-9.734674,0.017241,0.032507,0.025569
0.033369,-0.776769,-9.599701,-0.023176,-0.000777,-0.01733
0.170288,-0.685191,-9.772682,-0.018887,-0.018548,-0.03502
0.106841,-0.754024,-9.781361,0.008073,0.026435,0.029763
0.010624,-0.774075,-9.684396,-0.004619,0.016604,-0.018468
0.230741,-0.768838,-9.689035,-0.026357,-0.011161,0.002551
0.034417,-0.667982,-9.817125,0.005636,0.013514,0.010055
0.085293,-0.78051,-9.640552,-0.000949,0.002639,-0.010446
0.065841,-0.743849,-9.672575,-0.005654,0.017295,0.012503
0.00838,-0.743549,-9.678411,0.007353,-0.017731,-0.0425
0.050129,-0.794276,-9.646238,-0.015691,-0.041692,-0.076485
0.245106,-0.75971,-9.742007,-0.034229,0.046352,0.068662
-0.048632,-0.70195,-9.756521,0.013495,0.010489,-0.012869
0.055665,-0.809689,-9.65372,-0.012681,0.020075,0.000429
0.209642,-0.738013,-9.709535,-0.024803,0.002514,0.012069
0.034267,-0.759112,-9.800664,-0.011843,0.03759,0.008526
0.185401,-0.689081,-9.67856,0.004913,0.046173,0.04274
-0.043395,-0.755221,-9.625888,0.003831,-0.003496,-0.004012
0.095469,-0.744447,-9.69113,-0.025764,-0.001276,-0.015461
0.12794,-0.695665,-9.82326,0.005518,0.010269,0.004419
0.021398,-0.789039,-9.742455,0.018111,0.033573,0.013609
0.186299,-0.823755,-9.589376,-0.019921,-0.018221,-0.01977
0.074071,-0.757615,-9.720908,-0.005149,-0.006074,-0.037315
0.217124,-0.845452,-9.683199,-0.026637,-0.020715,-0.048525
0.167744,-0.699107,-9.841815,0.013115,0.050905,0.067886
0.030975,-0.744896,-9.650129,0.000573,-0.021944,-0.037004
0.112228,-0.79263,-9.803807,0.010462,0.048998,0.079343
0.030376,-0.684143,-9.655516,0.011675,-0.00219,-0.006069
0.085144,-0.830189,-9.693524,-0.029529,-0.022571,-0.041185
0.126444,-0.696114,-9.820417,0.034921,0.026888,0.018829
0.094122,-0.817171,-9.58788,0.007338,-0.002936,-0.015102
0.039205,-0.786495,-9.660304,-0.008366,0.010561,0.002506
0.080954,-0.745345,-9.754277,0.004444,0.023616,-0.017672
0.209343,-0.860865,-9.645341,-0.008165,0.035957,0.037573
0.04938,-0.827197,-9.698462,-0.032957,-0.016169,-0.023323
0.218022,-0.722001,-9.751583,-0.023192,0.003875,-0.002204
0.013168,-0.650026,-9.838972,0.009152,0.039606,0.054938
-0.018854,-0.698209,-9.650578,-0.000517,-0.023408,-0.059637
0.161309,-0.731429,-9.819369,0.028103,0.069628,0.075014
0.020051,-0.811036,-9.603741,0.048453,0.025068,-0.016976
0.092775,-0.905756,-9.486725,-0.018503,-0.042698,-0.079558
0.162207,-0.827346,-9.694123,-0.029888,-0.004148,-0.033133
0.183007,-0.686238,-9.833884,0.009097,0.066144,0.108212
-0.092027,-0.730381,-9.613318,-0.011452,-0.036535,-0.073406
0.201711,-0.826149,-9.648633,-0.041157,-0.03266,-0.030008
0.120907,-0.63581,-9.873688,0.031348,0.038506,0.051147
-0.043545,-0.857124,-9.659257,0.009942,0.008885,-0.006186
0.187197,-0.781557,-9.60434,-0.015651,-0.017165,-0.014557
-0.014664,-0.807295,-9.701006,-0.004387,0.003216,-5.2e-05
0.095768,-0.828244,-9.672575,-0.003633,0.026549,0.00885
