Accelerationx,Accelerationy,Accelerationz,Gyrox,Gyroy,Gyroz
0.152181,0.03292,-9.749189,-0.004545,0.008159,0.003854
0.159813,0.032621,-9.738864,-0.00563,0.008327,0.001978
0.149338,0.03292,-9.756072,-0.006014,0.009795,0.001342
0.157868,0.033668,-9.751284,-0.006726,0.010761,0.002481
0.149189,0.043844,-9.74874,-0.004024,0.008198,0.003742
0.150087,0.02469,-9.734525,-0.008233,0.009456,-0.000759
0.147543,0.030975,-9.742605,-0.005819,0.007353,0.003205
0.155324,0.039055,-9.762956,-0.005058,0.007516,0.000749
0.155922,0.040103,-9.754127,-0.004771,0.008535,0.001158
0.161908,0.027833,-9.734824,-0.006813,0.00797,0.002334
0.158765,0.040103,-9.727791,-0.004025,0.007945,-0.000568
0.163255,0.030077,-9.735273,-0.006469,0.008769,0.00211
